        CryoSleep	Age	VIP	RoomService	FoodCourt	ShoppingMall	Spa	VRDeck	Homeplanet_Mars	Homeplanet_Earth	Homeplanet_Europa	Cabin_S	Cabin_P	Transported
CryoSleep 1.00	-0.07	-0.08	-0.24	-0.21	-0.22	-0.20	-0.19	0.03	-0.11	0.10	0.01	-0.02	-0.01
Age       -0.07	1.00	0.09	0.07	0.13	0.05	0.12	0.10	0.01	-0.20	0.22	0.01	-0.02	0.01
VIP        -0.08	0.09	1.00	0.06	0.13	0.03	0.08	0.11	0.04	-0.16	0.15	-0.01	0.00	0.00
RoomService-0.24	0.07	0.06	1.00	-0.01	0.06	0.02	-0.02	0.24	-0.14	-0.06	-0.02	0.01	-0.02
FoodCourt  -0.21	0.13	0.13	-0.01	1.00	-0.01	0.22	0.22	-0.12	-0.21	0.36	0.01	-0.01	-0.01
ShoppingMall-0.22	0.05	0.03	0.06	-0.01	1.00	0.02	0.00	0.12	-0.07	-0.03	-0.01	0.01	0.02
Spa         -0.20	0.12	0.08	0.02	0.22	0.02	1.00	0.14	-0.09	-0.16	0.27	-0.01	-0.00	-0.01
VRDeck      -0.19	0.10	0.11	-0.02	0.22	0.00	0.14	1.00	-0.11	-0.15	0.27	-0.01	0.02	-0.01
Homeplanet_Mars 0.03	0.01	0.04	0.24	-0.12	0.12	-0.09	-0.11	1.00	-0.53	-0.29	-0.02	0.02	-0.01
Homeplanet_Earth -0.11	-0.20	-0.16	-0.14	-0.21	-0.07	-0.16	-0.15	-0.53	1.00	-0.61	-0.02	0.02	0.01
Homeplanet_Europa 0.10	0.22	0.15	-0.06	0.36	-0.03	0.27	0.27	-0.29	-0.61	1.00	0.03	-0.04	0.01
Cabin_S		0.01	0.01	-0.01	-0.02	0.01	-0.01	-0.01	-0.01	-0.02	-0.02	0.03	1.00	-0.96	-0.00
Cabin_P     -0.02	-0.02	0.00	0.01	-0.01	0.01	-0.00	0.02	0.02	0.02	-0.04	-0.96	1.00	-0.00
Transported0 -0.01	0.01	0.00	-0.02	-0.01	0.02	-0.01	-0.01	-0.01	0.01	0.01	-0.00	-0.00	1.00
